P,E,O,H,B
O,B,L,G,7
B,P,L,D,P
C,H,O,L,C
L,E,P,B,P
D,H,E,B,E
H,C,D,P,P
G,L,P,G,7
O,C,7,H,C
O,D,C,C,7
P,O,D,O,P
H,P,7,L,E
7,P,G,L,D
H,L,C,G,E
H,B,P,P,O
P,H,L,E,O
G,L,E,P,B
D,O,H,D,C
B,D,H,G,G
C,H,D,C,C
L,O,G,D,O
O,L,H,C,O
P,B,B,O,P
7,L,H,7,P
D,G,B,L,L
P,H,D,O,D
O,L,L,O,L
H,O,B,7,L
L,H,P,P,H
C,O,L,H,L
O,G,O,H,E
O,O,P,B,C
D,H,C,E,O
O,B,P,7,C
E,L,G,B,B
G,C,E,G,O
L,E,G,P,P
G,G,H,H,B
E,7,B,H,D
7,L,D,G,B
L,O,O,G,L
O,G,H,P,G
P,P,H,O,H
O,P,G,H,H
O,L,O,D,D
O,H,L,L,C
O,B,E,D,7
G,L,P,H,D
C,H,O,C,L
L,L,C,E,P
C,L,E,E,L
G,E,L,B,G
C,O,P,P,C
D,C,L,D,H
B,D,P,P,P
P,L,C,P,H
P,L,L,O,D
P,D,B,B,O
H,G,H,O,O
C,P,G,P,G
O,E,7,G,P
C,7,B,L,G
L,C,P,H,H
E,C,O,C,C
P,P,C,O,L
D,L,O,D,G
P,L,C,E,L
7,D,7,L,L
O,D,O,7,G
P,O,L,P,P
C,P,L,D,C
P,P,E,C,L
B,B,O,P,O
L,O,P,L,E
D,C,O,L,H
H,C,G,D,O
C,O,L,D,L
7,G,D,D,O
G,G,E,O,O
G,P,B,L,P
L,D,O,P,H
L,P,O,7,O
H,E,B,D,B
P,C,G,O,E
L,H,C,B,L
B,L,G,O,G
H,B,P,G,L
D,O,D,L,7
B,D,L,O,P
P,G,O,D,H
L,O,P,B,C
E,O,C,C,7
D,C,G,O,P
P,O,C,P,H
H,O,L,P,G
E,B,E,P,O
O,H,L,G,L
L,E,E,O,P
D,O,D,L,O
G,B,G,L,P
G,7,L,C,P
G,L,P,E,C
L,H,D,L,O
E,P,P,P,G
C,D,P,L,L
O,L,G,L,G
P,P,H,O,P
P,D,H,D,D
L,L,L,E,C
O,G,E,G,L
G,H,E,L,B
G,H,D,L,L
D,7,O,C,B
L,H,C,P,D
L,G,L,G,G
O,E,L,G,D
B,B,P,C,D
P,P,G,O,7
H,P,D,D,H
E,E,O,C,G
D,D,O,P,C
C,P,H,L,H
E,H,G,E,H
B,D,D,O,G
D,B,E,O,D
C,O,E,H,H
G,7,O,B,D
E,E,P,L,O
P,D,D,P,D
7,P,C,P,H
E,P,L,H,B
H,C,B,D,O
H,D,E,C,P
G,D,C,E,G
P,G,G,C,B
L,O,G,H,O
P,D,D,D,L
L,P,G,E,C
O,P,B,G,C
D,C,L,B,E
B,G,P,O,O
C,G,O,7,C
H,G,P,C,P
O,G,O,G,G
E,O,P,O,O
D,G,L,D,D
P,G,L,C,G
C,O,H,O,B
B,G,7,O,D
D,G,C,H,L
G,G,H,E,E
E,P,P,G,C
E,7,H,E,B
C,O,O,P,G
D,P,L,P,P
D,E,P,G,D
P,D,P,H,O
C,P,G,H,G
P,P,C,L,D
E,P,O,D,P
7,7,G,L,C
O,L,7,G,P
G,P,B,H,E
L,H,D,D,D
D,H,E,L,L
L,L,P,P,P
C,O,D,P,D
O,O,E,O,H
H,G,L,P,E
O,H,D,G,7
O,E,D,E,B
G,P,D,7,L
C,G,O,H,L
L,C,B,E,O
D,C,O,H,E
H,C,C,C,D
B,L,D,E,P
B,P,P,E,D
P,P,D,G,E
D,B,H,D,E
P,D,7,L,G
G,L,D,P,L
G,C,P,L,O
7,7,L,C,P
L,C,C,B,E
P,O,P,O,D
E,E,C,G,O
H,E,7,O,P
O,D,H,B,P
D,B,G,B,L
G,O,H,D,G
L,D,C,G,G
L,E,O,7,L
G,L,H,C,E
L,D,O,H,O
H,C,H,O,E
P,E,G,P,H
E,C,B,C,H
B,D,G,L,P
H,L,P,P,H
