D,E,L,L,O
G,O,H,E,H
L,7,C,C,D
O,G,L,L,P
G,H,E,H,E
D,C,E,7,E
L,L,O,B,D
P,E,L,G,D
C,O,B,L,E
H,L,C,E,B
D,P,E,D,O
P,O,B,L,O
D,P,C,C,L
E,E,O,B,B
7,C,P,G,7
P,H,G,E,E
H,L,E,E,E
P,O,E,C,O
E,P,E,B,O
C,P,H,H,E
B,E,O,L,C
E,H,H,C,7
H,7,B,C,O
C,E,B,D,D
L,P,O,P,O
D,O,7,P,L
C,B,P,O,O
G,H,O,O,E
O,7,E,H,O
7,D,H,7,7
P,L,B,L,H
B,H,E,D,P
O,7,H,G,G
7,C,P,D,E
B,D,D,B,O
D,C,B,B,P
G,7,O,C,D
O,L,G,E,P
7,C,L,G,B
H,P,E,O,G
D,D,L,7,L
L,P,C,L,G
L,D,E,H,B
E,D,C,L,G
P,B,B,C,D
B,E,H,C,L
E,H,P,C,E
G,7,G,C,P
D,H,D,E,D
L,O,H,C,H
L,P,O,O,C
E,P,D,D,G
P,7,B,H,P
E,H,G,O,H
O,L,D,D,E
L,7,D,P,L
7,E,G,P,L
B,B,D,P,7
O,L,E,D,O
7,H,P,O,L
O,B,E,H,D
E,7,P,G,B
E,D,G,D,O
O,C,G,E,L
H,L,D,O,D
G,G,7,E,H
G,O,D,B,L
7,E,O,H,7
P,L,D,P,L
O,O,B,H,E
G,E,O,H,L
C,O,C,H,G
P,P,P,H,L
G,L,P,E,7
O,C,G,P,E
D,L,C,O,G
P,B,O,P,L
H,D,E,O,C
E,P,L,G,O
H,C,O,O,7
L,P,7,7,L
C,G,H,L,E
E,H,D,D,D
C,P,P,E,O
E,H,7,P,D
C,D,L,B,P
D,O,P,7,B
L,G,P,L,E
P,E,L,L,P
C,D,O,L,B
B,O,P,P,H
C,H,P,H,D
O,P,7,H,P
G,G,D,B,L
E,B,H,O,B
P,H,D,E,H
H,L,7,D,L
B,O,B,P,C
P,7,G,B,G
E,G,H,E,G
7,7,H,B,B
H,B,C,G,7
7,G,L,P,G
H,O,H,C,B
P,O,7,P,E
L,D,L,E,P
L,E,E,L,H
O,B,D,L,B
G,G,O,B,O
E,C,D,7,D
G,P,P,D,E
P,G,H,O,P
E,B,O,G,C
B,C,G,P,E
B,P,7,B,L
L,P,C,C,H
O,7,E,G,B
P,L,D,P,G
G,E,L,O,7
H,G,P,O,H
L,7,7,7,E
B,L,L,E,C
G,B,H,H,D
O,H,D,G,H
C,L,O,P,P
P,P,O,E,P
P,H,D,7,D
P,O,P,L,B
P,E,7,7,7
D,P,G,P,P
P,L,P,D,B
C,D,P,O,B
G,D,7,L,C
E,G,P,P,L
L,L,E,C,P
H,G,L,D,H
G,E,G,L,G
C,E,L,7,H
D,B,E,D,B
H,D,G,O,E
D,C,L,E,P
7,D,B,G,C
O,C,B,G,O
H,B,C,G,E
L,H,G,L,L
O,7,O,7,G
G,E,C,E,C
E,L,H,C,P
7,O,G,H,7
B,G,L,E,H
E,E,7,O,O
D,O,O,G,E
O,P,P,D,O
B,O,C,7,C
O,D,O,D,7
L,7,D,P,B
C,B,L,P,D
E,H,B,P,7
H,P,7,O,H
B,B,P,L,C
B,G,B,O,G
7,D,E,G,P
C,D,L,L,C
D,E,G,O,L
G,P,C,H,P
D,C,B,L,H
E,P,B,B,H
O,L,7,7,D
7,D,P,O,D
B,C,H,B,P
B,L,L,7,O
G,H,C,D,G
D,E,P,P,H
B,G,7,D,C
L,E,E,G,H
H,D,L,B,C
H,P,C,B,P
O,L,C,H,D
B,B,L,P,B
C,O,B,E,G
B,O,H,7,7
O,G,O,B,E
P,H,P,E,L
H,O,G,D,O
L,E,G,H,G
L,L,H,C,H
7,B,7,E,P
D,G,E,O,O
P,H,G,G,G
P,B,E,L,7
D,O,H,G,B
B,G,E,B,P
7,B,B,P,B
L,G,O,H,O
7,B,B,H,C
L,C,H,G,L
H,E,B,B,P
H,C,O,E,G
O,7,L,B,C
E,B,D,7,7
